,Brand,Distributor,LinkofProduct,Name,Price,SKU
79,"""HP"";","""7158"";",https://www.senheng.com.my/hp-envy-x360-laptop-13-3-inch-8gb-ram-512gb-ssd-amd-r5-4500u.html,HP ENVY x360 Laptop 13.3 Inch (8GB RAM/512GB SSD/AMD R5-4500U),"RM3,699.00","""HP-13AY0043AU"";"
80,"""TP-Link"";","""7158"";",https://www.senheng.com.my/tp-link%20ac1200%20wireless%20vdsl/adsl%20modem%20router%20archer%20vr400%20v2.html,TP-Link AC1200 Wireless VDSL/ADSL Modem Router Archer VR400 V2,RM269.00,"""TP-ARCHERVR400"";"
81,"""Acer"";","""7158"";",https://www.senheng.com.my/acer-aspire-3-14-inch-ace-a314-22-r2dq-ryzen-3-4gb-ram-512gb-ssd.html,Acer Aspire 3 14 Inch ACE-A314-22-R2DQ (Ryzen 3/4GB RAM/512GB SSD),"RM2,149.00 2,199.00","""ACE-A314-22-R2DQ"";"
82,"""Microsoft"";","""7158"";",https://www.senheng.com.my/microsoft-designer-bluetooth-desktop.html,Microsoft Designer Bluetooth Desktop,RM409.00,"""MS-MIC-7N9-00028"";"
83,"""MSI"";","""7158"";",https://www.senheng.com.my/msi-gm70-wired-wireless-usb-rgb-adjustable-dpi-optical-mouse.html,MSI GM70 Wired/Wireless USB RGB Adjustable DPI Optical Mouse,RM589.00,"""MSI-GM70"";"
84,"""Apple"";","""7158"";",https://www.senheng.com.my/apple-magic-keyboard.html,Apple Magic Keyboard,RM379.00,"""APP-MLA22ZA/A"";"
85,"""TP-Link"";","""7158"";",https://www.senheng.com.my/tp-link-ac2200-smart-home-mesh-wi-fi-system-deco-m9-plus-2-pack.html,TP-Link AC2200 Smart Home Mesh Wi-Fi System Deco M9 Plus(2-pack),RM999.00,"""TP-DECO-M9PLUS.2PK"";"
86,"""TP-Link"";","""7158"";",https://www.senheng.com.my/tp-link-300mbps-wireless-n-4g-lte-router-tl-mr6400.html,TP-Link 300Mbps Wireless N 4G LTE Router TL-MR6400,RM349.00,"""TP-TL-MR640APAC"";"
87,"""Microsoft"";","""7158"";",https://www.senheng.com.my/microsoft-wireless-mobile-mouse-3500.html,Microsoft Wireless Mobile Mouse 3500,RM82.00,"""MS-GMF-CFG"";"
88,"""MSI"";","""7158"";",https://www.senheng.com.my/msi-23-6-inch-optix-g241vc-msi-g241vc.html,MSI 23.6 Inch Optix G241VC MSI-G241VC,RM649.00,"""MSI-G241VC"";"
